sample,gene_pair,communication_score,z_score,p_value,fdr,Disease Label,Patient_ID,General Categorization
V11Y24-010_B,RBP2 - RBP2,3131.478244348291,104.6075366477004,0.0,0.0,Adjacent,110748,Normal
V11Y24-010_B,LRP1 - LRP1,2896.904860695736,96.77157487108697,0.0,0.0,Adjacent,110748,Normal
V11Y24-010_B,AQP1 - AQP1,2649.05147108699,88.4919923501011,0.0,0.0,Adjacent,110748,Normal
V11Y24-010_B,SLC5A1 - SLC5A1,2234.8157856487483,74.65438235760878,0.0,0.0,Adjacent,110748,Normal
V11Y24-010_B,SLC6A19 - SLC6A19,1647.2692838470648,55.02729654586018,0.0,0.0,Adjacent,110748,Normal
V11Y24-010_B,SLC38A2 - SLC38A2,1403.6704277367526,46.88983740371607,0.0,0.0,Adjacent,110748,Normal
V11Y24-010_B,SLC40A1 - SLC40A1,1098.1714879690464,36.68459596694065,6.4287147393954405e-295,9.542049448902662e-293,Adjacent,110748,Normal
V11Y24-010_B,FABP4 - FABP4,1095.1643022155013,36.58414044102788,2.556060519747273e-293,3.319683600021771e-291,Adjacent,110748,Normal
V11Y24-010_B,SLC15A1 - SLC15A1,970.8198010402739,32.43039229121927,5.119215916218541e-231,5.909850374390072e-229,Adjacent,110748,Normal
V11Y24-010_B,AMN - AMN,956.2192660127102,31.942659059884058,3.415993306619233e-224,3.5492170455773835e-222,Adjacent,110748,Normal
V11Y24-010_B,SLC12A2 - SLC12A2,886.0774377352209,29.599559954751623,7.569386518665872e-193,7.149629629903492e-191,Adjacent,110748,Normal
V11Y24-010_B,FABP5 - FABP5,869.724776419559,29.05329666170373,6.990500348967341e-186,6.052608218814223e-184,Adjacent,110748,Normal
V11Y24-010_B,SLC29A1 - SLC29A1,850.6796380018699,28.417090736088696,6.218071345329117e-178,4.969673944459194e-176,Adjacent,110748,Normal
V11Y24-010_B,SLC10A2 - SLC5A1,2713.291232879822,27.864327983834706,3.611395378599963e-171,2.680171284546687e-169,Adjacent,110748,Normal
