sample,metabolite,communication_score,z_score,p_value,fdr,n_gene_pairs,Disease Label,Patient_ID,General Categorization
V11Y24-010_B,Fatty acid,12885.952751125844,52.045715455182396,0.0,0.0,21,Adjacent,110748,Normal
V11Y24-010_B,Sodium,31597.453565125048,51.9652584418209,0.0,0.0,153,Adjacent,110748,Normal
V11Y24-010_B,L-Glutamine,27743.66196757386,51.60245613270011,0.0,0.0,120,Adjacent,110748,Normal
V11Y24-010_B,Taurocholic acid,14773.373452327023,44.555538711883656,0.0,0.0,66,Adjacent,110748,Normal
V11Y24-010_B,Zinc,11539.020853188167,37.34770020636139,1.3815036398989772e-305,5.968095724363582e-304,91,Adjacent,110748,Normal
V11Y24-010_B,Iron,10698.842772514587,36.73995339431291,8.411139880587496e-296,3.0280103570114986e-294,45,Adjacent,110748,Normal
V11Y24-010_B,L-Serine,10970.664704011935,34.86833464529888,1.1229013373925519e-266,3.464952698239875e-265,45,Adjacent,110748,Normal
V11Y24-010_B,Cholesterol,3706.6424500700305,34.09182622503588,4.874591424597293e-255,1.3161396846412693e-253,6,Adjacent,110748,Normal
V11Y24-010_B,L-Cysteine,7574.323765178721,33.12583321179751,6.311877711133826e-241,1.5148506506721183e-239,21,Adjacent,110748,Normal
V11Y24-010_B,L-Asparagine,5520.394094227122,32.84782108291553,6.118050384692346e-237,1.3214988830935469e-235,10,Adjacent,110748,Normal
V11Y24-010_B,Glycyl-glycine,970.8198010402739,32.43039229121927,5.119215916218541e-231,1.0052278526392772e-229,1,Adjacent,110748,Normal
V11Y24-010_B,Estradiol,3934.498982966365,30.260950757080582,1.872262522419508e-201,3.370072540355114e-200,10,Adjacent,110748,Normal
V11Y24-010_B,O-Desmethylverapamil (D-702),6440.932915453163,29.242940880339983,2.7606304845506296e-188,4.586893728176431e-187,45,Adjacent,110748,Normal
V11Y24-010_B,N-Desmethyltamoxifen,1837.4974537394787,28.153742752852985,1.0782228588240283e-174,1.3699772794470006e-173,3,Adjacent,110748,Normal
V11Y24-010_B,Hydroxylansoprazole,1837.4974537394787,28.153742752852985,1.0782228588240283e-174,1.3699772794470006e-173,3,Adjacent,110748,Normal
V11Y24-010_B,N-desmethylimatinib,1837.4974537394787,28.153742752852985,1.0782228588240283e-174,1.3699772794470006e-173,3,Adjacent,110748,Normal
V11Y24-010_B,Cortisol,1837.4974537394787,28.153742752852985,1.0782228588240283e-174,1.3699772794470006e-173,3,Adjacent,110748,Normal
V11Y24-010_B,5-Hydroxyomeprazole,2609.1086288991214,27.010363069369664,5.583513486402128e-161,6.700216183682554e-160,6,Adjacent,110748,Normal
V11Y24-010_B,L-Histidine,6032.218875315853,26.97788279045608,1.3434080947248267e-160,1.5272428866345398e-159,21,Adjacent,110748,Normal
V11Y24-010_B,Vitamin A,4600.928076159602,26.353083678860845,2.3656455337094327e-153,2.5548971764061875e-152,6,Adjacent,110748,Normal
V11Y24-010_B,L-Alanine,6995.476825286774,25.880020309774267,5.589952852855776e-148,5.749665791508798e-147,36,Adjacent,110748,Normal
V11Y24-010_B,Nicotinate,3064.959575345666,24.67707185006371,9.427222032662514e-135,9.255817995705013e-134,10,Adjacent,110748,Normal
V11Y24-010_B,Water,6702.078579759996,24.586487671418595,8.810387500939825e-134,8.274103044360879e-133,21,Adjacent,110748,Normal
V11Y24-010_B,L-Arginine,5276.256372301422,24.354600779645434,2.5909365928348197e-131,2.331842933551338e-130,28,Adjacent,110748,Normal
V11Y24-010_B,Adenosylcobalamin,1839.48824426471,23.92081060074923,9.302558851888612e-127,8.03741084803176e-126,3,Adjacent,110748,Normal
V11Y24-010_B,Heme,3970.7653716452887,23.722089645950447,1.0668053678497288e-124,8.862690748290054e-124,6,Adjacent,110748,Normal
V11Y24-010_B,L-Leucine,4398.513314116779,23.707974046312255,1.4918449258611947e-124,1.1934759406889557e-123,28,Adjacent,110748,Normal
V11Y24-010_B,Cholic acid,4591.485390590655,23.071295735063657,4.4965022009309275e-118,3.468730269289573e-117,28,Adjacent,110748,Normal
V11Y24-010_B,2-Hydroxychlorpropamide,2598.4978489046525,23.06869657916167,4.774907332698694e-118,3.556482702975578e-117,6,Adjacent,110748,Normal
V11Y24-010_B,L-Cystine,2506.292849012956,22.814962683369266,1.6286597785600375e-115,1.1726350405632268e-114,6,Adjacent,110748,Normal
V11Y24-010_B,Urea,2319.8562199547096,21.848352703430102,4.029385298654285e-106,2.8075716919655662e-105,3,Adjacent,110748,Normal
V11Y24-010_B,L-Glutamate,4153.839085897896,21.443406565910532,2.6308792301599188e-102,1.7758434803579453e-101,28,Adjacent,110748,Normal
V11Y24-010_B,Choline,3608.941809502722,21.40848547572797,5.568681536845383e-102,3.644955187753341e-101,21,Adjacent,110748,Normal
V11Y24-010_B,Vitamin D3,1498.2135793687605,20.92809748781868,1.4856023752500185e-97,9.437944501588352e-97,3,Adjacent,110748,Normal
V11Y24-010_B,D-Fructose,2675.107888586467,20.771509270248483,3.9178575231265545e-96,2.4178777857009593e-95,15,Adjacent,110748,Normal
V11Y24-010_B,D-Glucose,5877.063023675121,20.341586677066935,2.7559054477207186e-92,1.6535432686324312e-91,91,Adjacent,110748,Normal
V11Y24-010_B,Folic acid,3872.2733287916326,20.086545869733953,4.8382050103981855e-90,2.8244656276919134e-89,28,Adjacent,110748,Normal
V11Y24-010_B,Bile acid,1086.9637032284536,19.18321021805296,2.5562141664775035e-82,1.4530059472608967e-81,3,Adjacent,110748,Normal
V11Y24-010_B,Testosterone,2267.0497762037367,18.722999311307056,1.6076312880566494e-78,8.903804056929135e-78,10,Adjacent,110748,Normal
V11Y24-010_B,L-Methionine,3353.003473737638,18.134980212203892,8.437990154661675e-74,4.5565146835173046e-73,15,Adjacent,110748,Normal
V11Y24-010_B,Chloride ion,3438.3470276744,17.173878660537298,2.0831302856597554e-66,1.0974540041524565e-65,28,Adjacent,110748,Normal
V11Y24-010_B,L-Lactate,2827.40475610493,16.753230929027207,2.6816337358381685e-63,1.379125921288201e-62,28,Adjacent,110748,Normal
V11Y24-010_B,N-Desmethylcitalopram,971.9922346811242,16.43000329039284,5.832630996248368e-61,2.9298797562549945e-60,3,Adjacent,110748,Normal
V11Y24-010_B,Pyruvate,3252.811542908814,16.125778421756824,8.406361161622076e-59,4.1267591157053834e-58,45,Adjacent,110748,Normal
V11Y24-010_B,Butyrate,976.3164394494095,15.75399504238417,3.2238084015634293e-56,1.547428032750446e-55,3,Adjacent,110748,Normal
V11Y24-010_B,Acetate,1433.0131610080807,15.702637364312203,7.254142003943167e-56,3.406292767068965e-55,6,Adjacent,110748,Normal
V11Y24-010_B,Glycine,1974.614514189071,15.676173343235643,1.1006111191096586e-55,5.05812769633375e-55,6,Adjacent,110748,Normal
V11Y24-010_B,beta-Dhydroxybutyrate,464.92420854524346,15.530868295692493,1.0722810981435953e-54,4.7267901469187055e-54,1,Adjacent,110748,Normal
V11Y24-010_B,Propionate,464.92420854524346,15.530868295692493,1.0722810981435953e-54,4.7267901469187055e-54,1,Adjacent,110748,Normal
V11Y24-010_B,Cobalamin,870.5328620474504,15.287044143323634,4.664460259733508e-53,2.0150468322048756e-52,3,Adjacent,110748,Normal
V11Y24-010_B,Glycochenodeoxycholate-3-sulfate,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Isoursodeoxycholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Varanic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Ursodeoxycholic acid 3-sulfate,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Ursocholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Lithocholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Deoxycholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Coprocholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Chenodeoxycholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Chenodeoxycholic acid 3-sulfate,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,3-Sulfodeoxycholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Sulfolithocholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Ursodeoxycholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Trihydroxycoprostanoic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Hyodeoxycholic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,3b-Hydroxy-5-cholenoic acid,1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,"3alpha,7alpha-Dihydroxycoprostanic acid",1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",1491.8168802185405,14.749095687892948,1.5590741820497521e-49,4.880580048155746e-49,6,Adjacent,110748,Normal
V11Y24-010_B,Creatine,1069.2162225539812,14.705126251257084,2.987968249229332e-49,9.220016311907654e-49,3,Adjacent,110748,Normal
V11Y24-010_B,Oxalic acid,420.5720263073721,14.049276482871457,3.891252999867479e-45,1.1673758999602438e-44,1,Adjacent,110748,Normal
V11Y24-010_B,Citric acid,420.5720263073721,14.049276482871457,3.891252999867479e-45,1.1673758999602438e-44,1,Adjacent,110748,Normal
V11Y24-010_B,L-Proline,2132.1426622461076,13.805416032182363,1.1820187734894317e-43,3.4974802064892774e-43,10,Adjacent,110748,Normal
V11Y24-010_B,L-Lysine,1348.3518802752142,13.737262080214409,3.0364622267316106e-43,8.745011212987038e-43,6,Adjacent,110748,Normal
V11Y24-010_B,L-Ornithine,1348.3518802752142,13.737262080214409,3.0364622267316106e-43,8.745011212987038e-43,6,Adjacent,110748,Normal
V11Y24-010_B,L-Dopa,1048.400966554537,13.604871878994311,1.873121690735551e-42,5.3236090157747234e-42,3,Adjacent,110748,Normal
V11Y24-010_B,Dehydroascorbic acid,1306.3342323305656,13.256792400269237,2.0607528511891617e-40,5.7067002032930635e-40,6,Adjacent,110748,Normal
V11Y24-010_B,Docosahexaenoic acid,1306.3342323305656,13.256792400269237,2.0607528511891617e-40,5.7067002032930635e-40,6,Adjacent,110748,Normal
V11Y24-010_B,Fumarate,396.3401128410055,13.23980549882367,2.5841248738075936e-40,6.890999663486916e-40,1,Adjacent,110748,Normal
V11Y24-010_B,Citrate,396.3401128410055,13.23980549882367,2.5841248738075936e-40,6.890999663486916e-40,1,Adjacent,110748,Normal
V11Y24-010_B,Malate,396.3401128410055,13.23980549882367,2.5841248738075936e-40,6.890999663486916e-40,1,Adjacent,110748,Normal
V11Y24-010_B,E-3179,374.57432209765386,12.51271574274421,3.1805804428483646e-36,7.806879268809622e-36,1,Adjacent,110748,Normal
V11Y24-010_B,8-Hydroxycarvedilol,374.57432209765386,12.51271574274421,3.1805804428483646e-36,7.806879268809622e-36,1,Adjacent,110748,Normal
V11Y24-010_B,4-Hydroxycyclophosphamide,374.57432209765386,12.51271574274421,3.1805804428483646e-36,7.806879268809622e-36,1,Adjacent,110748,Normal
V11Y24-010_B,O-Deethylated candesartan,374.57432209765386,12.51271574274421,3.1805804428483646e-36,7.806879268809622e-36,1,Adjacent,110748,Normal
V11Y24-010_B,N-Desmethyleletriptan,374.57432209765386,12.51271574274421,3.1805804428483646e-36,7.806879268809622e-36,1,Adjacent,110748,Normal
V11Y24-010_B,Glycerol,374.57432209765386,12.51271574274421,3.1805804428483646e-36,7.806879268809622e-36,1,Adjacent,110748,Normal
V11Y24-010_B,Estriol,374.57432209765386,12.51271574274421,3.1805804428483646e-36,7.806879268809622e-36,1,Adjacent,110748,Normal
V11Y24-010_B,GABA,1198.0613795971403,11.968615728465895,2.5943535246981043e-33,6.296408554323489e-33,6,Adjacent,110748,Normal
V11Y24-010_B,Glucosamine,1185.6288543098453,11.865845144332994,8.904746642210175e-33,2.137139194130442e-32,6,Adjacent,110748,Normal
V11Y24-010_B,Adenosine,895.867521977026,11.697225372552191,6.584460658191454e-32,1.4970984233361622e-31,3,Adjacent,110748,Normal
V11Y24-010_B,Cytidine,895.867521977026,11.697225372552191,6.584460658191454e-32,1.4970984233361622e-31,3,Adjacent,110748,Normal
V11Y24-010_B,Uridine,895.867521977026,11.697225372552191,6.584460658191454e-32,1.4970984233361622e-31,3,Adjacent,110748,Normal
V11Y24-010_B,Inosine,895.867521977026,11.697225372552191,6.584460658191454e-32,1.4970984233361622e-31,3,Adjacent,110748,Normal
V11Y24-010_B,Guanosine,895.867521977026,11.697225372552191,6.584460658191454e-32,1.4970984233361622e-31,3,Adjacent,110748,Normal
V11Y24-010_B,Ethanol,894.440001240146,11.67858642050443,8.200006361367424e-32,1.8450014313076705e-31,3,Adjacent,110748,Normal
V11Y24-010_B,Anion exchange,1563.539794166445,11.489416873616202,7.455753116960306e-31,1.6602501786220888e-30,21,Adjacent,110748,Normal
V11Y24-010_B,D-Galactose,1226.2712278505148,11.20644565953747,1.8955664891512171e-29,4.177983282210846e-29,15,Adjacent,110748,Normal
V11Y24-010_B,D-Mannose,899.3078615541281,10.444326286103104,7.777796921891924e-26,1.6969738738673289e-25,10,Adjacent,110748,Normal
V11Y24-010_B,Succinate,598.4365284231762,9.951263878122873,1.245002500188639e-23,2.68920540040746e-23,3,Adjacent,110748,Normal
V11Y24-010_B,L-Phenylalanine,1134.6419608486544,9.425775061760454,2.1347031262135185e-21,4.565305695664554e-21,21,Adjacent,110748,Normal
V11Y24-010_B,Lysophosphatidylcholine,271.5004660861754,9.069516930936883,5.977291644608401e-20,1.2657794070935437e-19,1,Adjacent,110748,Normal
V11Y24-010_B,4'-Hydroxydiclofenac,728.603131360262,9.039273217058327,7.885845194449412e-20,1.6537306427194884e-19,6,Adjacent,110748,Normal
V11Y24-010_B,Progesterone,721.3044694926513,8.948723786372945,1.798078863060718e-19,3.734471484818414e-19,6,Adjacent,110748,Normal
V11Y24-010_B,"3',4'-Dihydrodiol",523.7058648668262,8.852425745749715,4.2818654116859457e-19,8.725310650227966e-19,3,Adjacent,110748,Normal
V11Y24-010_B,17a-Ethynylestradiol,523.7058648668262,8.852425745749715,4.2818654116859457e-19,8.725310650227966e-19,3,Adjacent,110748,Normal
V11Y24-010_B,Calcium release-activated calcium transport,613.3180879027318,8.77075866501307,8.873322478490513e-19,1.7912501451906084e-18,6,Adjacent,110748,Normal
V11Y24-010_B,Thymidine,910.7054957095243,8.736128423723809,1.2061785681081427e-18,2.4123571362162854e-18,6,Adjacent,110748,Normal
V11Y24-010_B,Long-chain fatty acid,461.3587512863325,8.657658062847789,2.4077776250891435e-18,4.771375844213349e-18,3,Adjacent,110748,Normal
V11Y24-010_B,D-Lactate,656.8991034199607,8.541490458059656,6.625077047284814e-18,1.2776934305477857e-17,6,Adjacent,110748,Normal
V11Y24-010_B,alpha-Ketoisovaleric acid,656.8991034199607,8.541490458059656,6.625077047284814e-18,1.2776934305477857e-17,6,Adjacent,110748,Normal
V11Y24-010_B,Ketone bodies,656.8991034199607,8.541490458059656,6.625077047284814e-18,1.2776934305477857e-17,6,Adjacent,110748,Normal
V11Y24-010_B,Cyclic AMP,552.5501333539758,7.7060129143463705,6.490474928370961e-15,1.2406571544496704e-14,6,Adjacent,110748,Normal
V11Y24-010_B,Adenosine triphosphate,619.6161029522689,7.44487940105968,4.851650970980022e-14,9.19260183975162e-14,6,Adjacent,110748,Normal
V11Y24-010_B,Glutathione,657.5744602833198,7.327604231338981,1.1715171443308264e-13,2.200414810221378e-13,15,Adjacent,110748,Normal
V11Y24-010_B,4-ene-Valproic acid,404.3151303587624,7.123253665388519,5.270428056822057e-13,9.81390051959969e-13,3,Adjacent,110748,Normal
V11Y24-010_B,Phosphate,658.3958991097154,6.94025486800128,1.956965857426907e-12,3.6128600444804435e-12,15,Adjacent,110748,Normal
V11Y24-010_B,25-Hydroxycholesterol,197.62420754178913,6.6016685794356595,2.0327780006904897e-11,3.721017357196151e-11,1,Adjacent,110748,Normal
V11Y24-010_B,L-Isoleucine,418.39366662033376,5.692979820543909,6.242057334975541e-09,1.1235703202955973e-08,6,Adjacent,110748,Normal
V11Y24-010_B,L-Valine,418.39366662033376,5.692979820543909,6.242057334975541e-09,1.1235703202955973e-08,6,Adjacent,110748,Normal
V11Y24-010_B,Copper,379.23085032278254,5.647960233003281,8.118136052232092e-09,1.4491879233736625e-08,6,Adjacent,110748,Normal
V11Y24-010_B,Vitamin C,282.8926241398077,5.463952875448434,2.328235994605842e-08,4.1221227445480487e-08,3,Adjacent,110748,Normal
V11Y24-010_B,Calcidiol,159.47846230261982,5.327403797215946,4.9813257693917663e-08,8.677148114424368e-08,1,Adjacent,110748,Normal
V11Y24-010_B,Calcium,159.47846230261982,5.327403797215946,4.9813257693917663e-08,8.677148114424368e-08,1,Adjacent,110748,Normal
V11Y24-010_B,Sodium_nucleoside symport,243.57288946546936,5.249521344834767,7.624746505451495e-08,1.3175561961420183e-07,3,Adjacent,110748,Normal
V11Y24-010_B,Chloride_bicarbonate anion exchange,289.54781909442966,5.191005579927432,1.0458067844060618e-07,1.7928116304103915e-07,3,Adjacent,110748,Normal
V11Y24-010_B,Riboflavin,305.88268082163427,5.039257133132347,2.3367112800369964e-07,3.9742491062046555e-07,6,Adjacent,110748,Normal
V11Y24-010_B,Hydrogen carbonate,334.98799167333283,4.747966528615238,1.0273601470085475e-06,1.733670248076924e-06,6,Adjacent,110748,Normal
V11Y24-010_B,Serotonin,141.67491725371065,4.732673498666373,1.107908808451986e-06,1.855103121128907e-06,1,Adjacent,110748,Normal
V11Y24-010_B,Adenine,431.0173737602307,4.651878526510001,1.6446241397488107e-06,2.732606262967255e-06,10,Adjacent,110748,Normal
V11Y24-010_B,Arachidonic acid,269.6088049517832,4.325239760323572,7.618302490377022e-06,1.25614758619957e-05,6,Adjacent,110748,Normal
V11Y24-010_B,Magnesium,279.3859554517337,4.29433476301843,8.760896112619188e-06,1.433601182064958e-05,6,Adjacent,110748,Normal
V11Y24-010_B,Chloride,331.3331414092619,4.283557205337631,9.196439040896706e-06,1.493557017168187e-05,10,Adjacent,110748,Normal
V11Y24-010_B,L-Threonine,337.4243988628736,4.155755164839208,1.6210743727476305e-05,2.6130751083096134e-05,10,Adjacent,110748,Normal
V11Y24-010_B,Sulfate,117.39942819431292,3.921746864893675,4.3954659844126813e-05,6.981034210537788e-05,1,Adjacent,110748,Normal
V11Y24-010_B,Selenate,117.39942819431292,3.921746864893675,4.3954659844126813e-05,6.981034210537788e-05,1,Adjacent,110748,Normal
V11Y24-010_B,Sodium_calcium exchange,199.27571683424844,3.8940630217364345,4.9289510373815274e-05,7.771192876455546e-05,3,Adjacent,110748,Normal
V11Y24-010_B,Folinic acid,207.38167171020228,3.442202787405055,0.0002884987648094774,0.0004515632840496168,6,Adjacent,110748,Normal
V11Y24-010_B,Tripeptides,157.28769202620043,3.0642854403611355,0.0010909531053431662,0.001683184791100885,3,Adjacent,110748,Normal
V11Y24-010_B,Dipeptides,157.28769202620043,3.0642854403611355,0.0010909531053431662,0.001683184791100885,3,Adjacent,110748,Normal
V11Y24-010_B,Amiloride-sensitive sodium transport,124.03614153073828,2.5532368905317715,0.005336344012875469,0.008174824870787951,3,Adjacent,110748,Normal
V11Y24-010_B,Myoinositol,108.43143639768772,2.3852143681537497,0.008534585861515016,0.012982186944276362,3,Adjacent,110748,Normal
V11Y24-010_B,L-Tyrosine,171.09499799632113,2.3725551417777577,0.00883276302673957,0.013341795900529698,10,Adjacent,110748,Normal
V11Y24-010_B,Myristic acid,97.10501156927853,2.085621145028367,0.018506477211729454,0.02775971581759418,3,Adjacent,110748,Normal
V11Y24-010_B,D-Xylose,61.56616399291761,2.056627654294237,0.01986102801147672,0.029383438701910767,1,Adjacent,110748,Normal
V11Y24-010_B,D-Maltose,61.56616399291761,2.056627654294237,0.01986102801147672,0.029383438701910767,1,Adjacent,110748,Normal
V11Y24-010_B,Histamine,92.41095600680417,2.0402947951011785,0.020660486457886325,0.02995077231478823,3,Adjacent,110748,Normal
