sample,gene_pair,communication_score,z_score,p_value,fdr,Disease Label,Patient_ID,General Categorization
V11Y24-010_D,RBP2 - RBP2,14196.459778823168,413.1278093260819,0.0,0.0,Fibrotic,106392,Normal
V11Y24-010_D,SLC5A1 - SLC5A1,4720.074849170306,137.35777881762237,0.0,0.0,Fibrotic,106392,Normal
V11Y24-010_D,LRP1 - LRP1,2369.2757037084793,68.94773037871664,0.0,0.0,Fibrotic,106392,Normal
V11Y24-010_D,AQP1 - AQP1,1971.1696012236093,57.36253910136335,0.0,0.0,Fibrotic,106392,Normal
V11Y24-010_D,SLC38A2 - SLC38A2,1690.3647249955707,49.19090299126635,0.0,0.0,Fibrotic,106392,Normal
V11Y24-010_D,SLC2A5 - SLC2A5,1160.7233203519013,33.77793407945174,2.0797279143014018e-250,3.3414295156442525e-248,Fibrotic,106392,Normal
V11Y24-010_D,CD36 - CD36,1093.547649794427,31.82307082130214,1.5524856826172003e-222,2.13799456863283e-220,Fibrotic,106392,Normal
V11Y24-010_D,SLC6A19 - SLC6A19,993.9475434357491,28.924631746372693,2.926105885745135e-184,3.525957592322888e-182,Fibrotic,106392,Normal
V11Y24-010_D,AMN - AMN,811.7639481324045,23.622950144379704,1.1197869271940544e-123,1.1994162197945206e-121,Fibrotic,106392,Normal
V11Y24-010_D,SLC29A1 - SLC29A1,803.5643784597938,23.38433641186906,3.084458601475278e-121,2.973418091822168e-119,Fibrotic,106392,Normal
V11Y24-010_D,SLC15A1 - SLC15A1,771.1730423520748,22.441723821419693,7.707625219839407e-112,6.754682465386535e-110,Fibrotic,106392,Normal
V11Y24-010_D,SLC38A1 - SLC38A2,1984.8158668815015,22.1402528093429,6.475412456993825e-109,5.2019146737850394e-107,Fibrotic,106392,Normal
V11Y24-010_D,FABP5 - FABP5,723.8683010179601,21.065119762198403,8.310259007166287e-99,6.162376679160232e-97,Fibrotic,106392,Normal
V11Y24-010_D,SLC38A1 - SLC38A1,700.491886809534,20.384848276047173,1.1396102567059796e-92,7.847030624746887e-91,Fibrotic,106392,Normal
V11Y24-010_D,SLC13A2 - SLC13A2,698.966950391108,20.340471462973984,2.81929036884648e-92,1.8118639437120044e-90,Fibrotic,106392,Normal
V11Y24-010_D,SLC6A8 - SLC6A8,698.6212977999173,20.330412708889426,3.460893178528631e-92,2.0851881400635e-90,Fibrotic,106392,Normal
V11Y24-010_D,CD36 - FABP5,1479.6440295259008,20.15814465242076,1.14141365948248e-90,6.472486869065358e-89,Fibrotic,106392,Normal
V11Y24-010_D,SLC6A19 - SLC7A7,1329.6000993819207,19.403983015766105,3.5708867474572504e-84,1.9124082358604386e-82,Fibrotic,106392,Normal
V11Y24-010_D,SLC39A4 - SLC39A4,656.5329917398201,19.105610895497115,1.1337912087056047e-81,5.752498553643174e-80,Fibrotic,106392,Normal
V11Y24-010_D,SLC2A4 - SLC2A4,655.6055346509838,19.0786211867018,1.9007788563589524e-81,9.161754087650151e-80,Fibrotic,106392,Normal
V11Y24-010_D,ABCG2 - CD36,1323.1360798797864,18.02593594190338,6.096556721389204e-73,2.798609847342473e-71,Fibrotic,106392,Normal
V11Y24-010_D,SLC6A19 - SLC38A2,1528.5368379034858,17.050544881399432,1.7314502294396323e-65,7.439128536337991e-64,Fibrotic,106392,Normal
V11Y24-010_D,NPC1L1 - NPC1L1,585.8642397605882,17.04909630327894,1.774895812611761e-65,7.439128536337991e-64,Fibrotic,106392,Normal
V11Y24-010_D,SLC12A2 - SLC29A1,1076.1123341722016,16.95370132532778,9.035512458326578e-65,3.629264170761176e-63,Fibrotic,106392,Normal
V11Y24-010_D,TAP1 - TAP1,566.1373461509996,16.475028650588868,2.7731140552397465e-61,1.0693127797004462e-59,Fibrotic,106392,Normal
V11Y24-010_D,FABP5 - CPT1A,994.3516247325696,16.267575809473303,8.383269739327922e-60,3.108258472581583e-58,Fibrotic,106392,Normal
V11Y24-010_D,CD36 - CPT1A,1183.8723615660479,16.128656513484493,8.023670408581343e-59,2.864747508841635e-57,Fibrotic,106392,Normal
V11Y24-010_D,FABP5 - FABP4,955.9578837573083,15.639454854682969,1.960350265319316e-55,6.749205913456503e-54,Fibrotic,106392,Normal
V11Y24-010_D,SLC3A2 - SLC38A2,1398.8296258748596,15.603684992063272,3.435546313179684e-55,1.142022981346626e-53,Fibrotic,106392,Normal
V11Y24-010_D,CD36 - FABP4,1121.7883462470677,15.282845942543247,4.974942216950151e-53,1.5986147657133153e-51,Fibrotic,106392,Normal
V11Y24-010_D,SLC2A5 - SLC2A2,1127.4350439607576,15.22748254780935,1.1618400108263415e-52,3.612947646569656e-51,Fibrotic,106392,Normal
V11Y24-010_D,ABCG2 - ABCG2,485.49767755061055,14.1283527783862,1.2700831985879102e-45,3.8261256357460797e-44,Fibrotic,106392,Normal
V11Y24-010_D,SLC2A3 - SLC2A4,792.6881727602924,13.806887738171545,1.1581219652492808e-43,3.3831199227282017e-42,Fibrotic,106392,Normal
V11Y24-010_D,SLC7A7 - SLC7A7,471.86854949247345,13.731734754920804,3.2772557809989893e-43,9.291984037891251e-42,Fibrotic,106392,Normal
V11Y24-010_D,FABP4 - FABP4,464.5421134365537,13.518529876725413,6.079059545015083e-42,1.6743466861127256e-40,Fibrotic,106392,Normal
V11Y24-010_D,SLC3A2 - SLC38A1,802.9449603140782,13.325130049524088,8.267220690173657e-41,2.213777984813168e-39,Fibrotic,106392,Normal
V11Y24-010_D,SLC6A19 - SLC3A2,897.4627235861635,13.097435427271975,1.702860402639653e-39,4.436641697688177e-38,Fibrotic,106392,Normal
V11Y24-010_D,SLC40A1 - SLC3A2,660.6207043557622,13.086439277317082,1.9681632047248874e-39,4.992919287775767e-38,Fibrotic,106392,Normal
V11Y24-010_D,FABP4 - CPT1A,672.3653272815756,13.003205435291056,5.866036261835468e-39,1.4499638349767667e-37,Fibrotic,106392,Normal
V11Y24-010_D,SLC29A1 - SLC5A1,1847.31752069886,12.978898484087974,8.059097105763083e-39,1.9422424024889034e-37,Fibrotic,106392,Normal
V11Y24-010_D,SLC3A2 - SLC7A7,633.9316321543638,12.888319735089961,2.618623040661423e-38,6.156957588286857e-37,Fibrotic,106392,Normal
V11Y24-010_D,SLC12A2 - SLC5A1,1810.3359546401107,12.719073096042328,2.31661788386525e-37,5.317189619157384e-36,Fibrotic,106392,Normal
V11Y24-010_D,SLC40A1 - SLC40A1,431.59632415105375,12.559782275838288,1.756490559243228e-36,3.9378067421173763e-35,Fibrotic,106392,Normal
V11Y24-010_D,SLC1A1 - SLC3A2,546.5656404836211,12.439150230796102,8.009956043579963e-36,1.7549085513661558e-34,Fibrotic,106392,Normal
